month,agent,A_prev,A_curr,labor_net,transfer,consumption,W_resources,residual,interest_rate,total_income,check_identity,viol_C_neg,viol_C_gt_W,viol_resid
5,2,29698.823764258617,13867.882341691587,15851.664117197337,0.0,32358.392130613716,45550.487881455956,-675.7865908493477,0.0,15851.664117197337,-675.7865908493477,0.0,0.0,1.0
6,2,13867.882341691587,8708.660467480255,0.0,0.0,10223.21011399856,13867.882341691587,-5063.988239787228,0.0,0.0,-5063.988239787228,0.0,0.0,1.0
7,2,8708.660467480255,2753.86787393916,0.0,0.0,6425.691705858042,8708.660467480255,-470.89911231694714,0.0,0.0,-470.89911231694714,0.0,0.0,1.0
8,2,2753.86787393916,13354.201973188581,15578.06043765919,0.0,3766.5697873095996,18331.92831159835,1211.1565511001681,0.0,15578.06043765919,1211.1565511001681,0.0,0.0,1.0
9,2,13354.201973188581,4039.4334298726026,0.0,0.0,14321.627615002868,13354.201973188581,-5006.859071686889,0.0,0.0,-5006.859071686889,0.0,1.0,1.0
10,2,4039.4334298726026,6782.174871505549,0.0,0.0,753.5749857228388,4039.4334298726026,-3496.3164273557854,0.0,0.0,-3496.3164273557854,0.0,0.0,1.0
1,3,686.398038697283,686.398038697283,0.0,0.0,93.5997325496295,686.398038697283,-93.5997325496295,0.0,0.0,-93.5997325496295,0.0,0.0,1.0
2,3,686.398038697283,4159.27024293266,27624.574430508103,0.0,21836.16877539645,28310.972469205386,2315.5334508762753,0.0,27624.574430508103,2315.5334508762753,0.0,0.0,1.0
3,3,4159.27024293266,25410.138612075392,26839.139276599628,0.0,1058.7557755031414,30998.409519532288,4529.5151319537545,0.0,26839.139276599628,4529.5151319537545,0.0,0.0,1.0
4,3,25410.138612075392,33084.50160186423,26458.234505466586,0.0,14179.072115084668,51868.37311754198,4604.799400593089,0.0,26458.234505466586,4604.799400593089,0.0,0.0,1.0
5,3,33084.50160186423,27480.8009574127,0.0,0.0,9655.416552604462,33084.50160186423,-4051.7159081529317,0.0,0.0,-4051.7159081529317,0.0,0.0,1.0
6,3,27480.8009574127,20611.073769410857,25987.65584143229,0.0,30916.610654116284,53468.456798844985,1940.7723753178434,0.0,25987.65584143229,1940.7723753178434,0.0,0.0,1.0
7,3,20611.073769410857,9276.068067960234,0.0,0.0,11805.90481376757,20611.073769410857,-470.89911231694714,0.0,0.0,-470.89911231694714,0.0,0.0,1.0
8,3,9276.068067960234,7221.095001152851,25389.971833654603,0.0,22866.800836984028,34666.03990161484,4578.144063477957,0.0,25389.971833654603,4578.144063477957,0.0,0.0,1.0
9,3,7221.095001152851,30182.671216087598,24876.859782190204,0.0,615.9728819609713,32097.954783343055,1299.3106852944875,0.0,24876.859782190204,1299.3106852944875,0.0,0.0,1.0
10,3,30182.671216087598,14818.754563115086,0.0,0.0,18860.233080328297,30182.671216087598,-3496.316427355785,0.0,0.0,-3496.316427355785,0.0,0.0,1.0
1,4,171.59950967432076,171.59950967432076,0.0,0.0,608.3982615725918,171.59950967432076,-608.3982615725918,0.0,0.0,-608.3982615725918,0.0,1.0,1.0
2,4,171.59950967432076,24567.487377626596,54014.45453140721,0.0,17790.249480350292,54186.05404108153,11828.317183104642,0.0,54014.45453140721,11828.317183104642,0.0,0.0,1.0
3,4,24567.487377626596,12352.80771219008,0.0,0.0,14501.12209691879,24567.487377626596,-2286.4424314822754,0.0,0.0,-2286.4424314822754,0.0,0.0,1.0
4,4,12352.80771219008,7934.540735127868,0.0,0.0,6759.053218812629,12352.80771219008,-2340.7862417504166,0.0,0.0,-2340.7862417504166,0.0,0.0,1.0
5,4,7934.540735127868,46337.68493884048,52442.40108110938,0.0,1930.7368724516866,60376.94181623725,12108.520004945087,0.0,52442.40108110938,12108.520004945087,0.0,0.0,1.0
6,4,46337.68493884048,55909.180283558366,51725.022757070496,0.0,31448.91390950158,98062.70769591097,10704.613502851018,0.0,51725.022757070496,10704.613502851018,0.0,0.0,1.0
7,4,55909.180283558366,48486.86828045277,0.0,0.0,7893.211115422545,55909.180283558366,-470.89911231694714,0.0,0.0,-470.89911231694714,0.0,0.0,1.0
8,4,48486.86828045277,6079.160601467862,0.0,0.0,44580.51107743099,48486.86828045277,-2172.803398446078,0.0,0.0,-2172.803398446078,0.0,0.0,1.0
9,4,6079.160601467862,38690.05934982908,50444.28013713034,0.0,7369.535114253158,56523.440738598205,10463.84627451597,0.0,50444.28013713034,10463.84627451597,0.0,0.0,1.0
10,4,38690.05934982908,43055.029134269775,50352.55043375237,0.0,33828.95146264054,89042.60978358144,12158.629186671125,0.0,50352.55043375237,12158.629186671125,0.0,0.0,1.0
